Age,Assists,C_Apps,C_Assists,C_Clean_Sheets,C_Goals,C_Mins,Clean Sheets,Club,Club_Appearances,Country,Current_Value,F_Def,F_Drib,F_Pace,F_Passing,F_Phy,F_Rating,F_Shooting,F_WRate,FantasyLeaguePoints,FantasyLeagueVal,Goals,Goals_per_game,Mins_per_goal,Minutes_played_club,Name,Position,Previous_Value,Wiki_Views
32,2,12,0,6,0,1049,,Real Madrid,25,Croatia,"40,00 Mill. ",72,89,73,86,65,89,75,High / Medium,34,4.3,1,0.04,1.892,1892,Luka Modric,Central Midfield,"40,00 Mill. ?",20
25,0,14,0,6,3,1202,,Real Madrid,25,Brazil,"40,00 Mill. ",84,72,62,74,86,85,68,Medium / High,50,5.5,4,0.16,427,1707,Casemiro,Defensive Midfield,"30,00 Mill. ?","1,837"
31,0,13,1,6,0,1125,,Real Madrid,28,Spain,"40,00 Mill. ",88,72,76,71,83,90,63,High / Medium,45,7.4,7,0.25,356,2489,Sergio Ramos,Centre-Back,"40,00 Mill. ?","4,272"
29,10,13,1,5,1,1129,,Real Madrid,30,Brazil,"40,00 Mill. ",82,85,78,80,79,87,69,High / Medium,50,11.5,2,0.07,1.139,2277,Marcelo,Left-Back,"38,00 Mill. ?",62
24,2,11,0,4,0,945,,Real Madrid,23,France,"40,00 Mill. ",84,65,79,61,79,85,45,Medium / High,38,3.5,1,0.04,1.927,1927,Raphaël Varane,Centre-Back,"35,00 Mill. ?",991
23,3,1,0,0,0,156,,Real Madrid,27,Croatia,"25,00 Mill. ",61,84,81,82,69,82,69,High / Medium,6,2,1,0.04,1.688,1688,Mateo Kovacic,Central Midfield,"25,00 Mill. ?",6
27,3,10,0,6,1,1015,,Real Madrid,28,Spain,"20,00 Mill. ",81,64,76,65,78,81,37,Medium / Medium,50,7,2,0.07,1.151,2301,Nacho Fernández,Centre-Back,"15,00 Mill. ?",1
21,2,2,0,1,2,186,,Real Madrid,30,Spain,"17,00 Mill. ",70,80,68,76,64,78,61,Medium / Medium,21,2,2,0.07,1.168,2335,Dani Ceballos,Central Midfield,"17,00 Mill. ?","1,191"
20,4,3,0,1,0,296,,Real Madrid,32,France,"20,00 Mill. ",72,74,84,63,76,75,56,Medium / Medium,12,2,1,0.03,2.726,2726,Theo Hernández,Left-Back,"20,00 Mill. ?","1,823"
31,0,10,0,4,0,900,5,Real Madrid,27,Costa Rica,"18,00 Mill. ",54,85,87,72,80,85,82,No,38,3,0,0,,2430,Keylor Navas,Keeper,"18,00 Mill. ?","1,509"
20,1,3,0,2,0,270,,Real Madrid,25,Spain,"15,00 Mill. ",79,63,73,56,70,77,41,Low / High,15,2,1,0.04,2055,2055,Jesús Vallejo,Centre-Back,"15,00 Mill. ?",861
26,9,5,1,1,1,566,,Real Madrid,33,Spain,"15,00 Mill. ",38,82,81,81,67,82,75,High / High,32,5.8,2,0.06,692,1383,Lucas Vázquez,Right Wing,"15,00 Mill. ?","1,070"
22,2,2,0,0,0,237,,Real Madrid,32,Spain,"15,00 Mill. ",71,70,55,72,71,77,48,Medium / Medium,9,2,0,0,,2805,Marcos Llorente,Defensive Midfield,"15,00 Mill. ?",731
20,0,1,0,0,1,119,,Real Madrid,19,Spain,"7,50 Mill. ",18,69,74,57,52,72,72,High / Medium,14,2,2,0.105,184,374,Borja Mayoral,Centre-Forward,"2,50 Mill. ?",780
31,0,7,0,3,0,630,5,Real Madrid,11,Spain,"6,00 Mill. ",32,77,75,80,82,80,83,No,30,2,0,0,,990,Kiko Casilla,Keeper,"6,00 Mill. ?",571
19,8,5,0,2,1,426,,Real Madrid,28,Morocco,"5,00 Mill. ",64,69,77,65,70,70,59,High / Medium,25,2.5,1,0.035,2304,2304,Achraf Hakimi,Right-Back,300 Th. ?,912
30,4,17,2,0,10,1529,,Celta de Vigo,32,Spain,"18,00 Mill. ",33,89,84,80,69,86,88,High / High,80,16,19,0.59,122,2318,Iago Aspas,Right Wing,"18,00 Mill. ?",796
22,4,18,11,3,1,1477,,Celta de Vigo,30,Denmark,"15,00 Mill. ",52,79,84,64,66,74,72,High / Medium,82,9.5,3,0.1,555,1664,Pione Sisto,Left Wing,"5,00 Mill. ?",394
21,3,17,2,0,8,1448,,Celta de Vigo,12,Uruguay,"12,00 Mill. ",24,63,66,57,68,70,69,Medium / Medium,70,8,10,0.83,98,980,Maximiliano Gómez,Centre-Forward,"4,00 Mill. ?",11
26,1,16,2,3,0,1401,,Celta de Vigo,23,Spain,"10,00 Mill. ",77,74,74,70,76,80,40,High / Medium,43,6,2,0.09,994,1988,Hugo Mallo,Right-Back,"8,00 Mill. ?",78
28,4,17,5,3,4,1494,,Celta de Vigo,32,Denmark,"10,00 Mill. ",70,84,78,86,74,83,80,Medium / Medium,78,10.1,3,0.09,798,2394,Daniel Wass,Central Midfield,"10,00 Mill. ?",155
25,0,12,0,1,2,1000,,Celta de Vigo,25,Spain,"8,00 Mill. ",78,63,43,64,73,77,41,High / Medium,42,5,0,0,,1904,Sergi Gómez,Centre-Back,"6,00 Mill. ?",89
20,3,1,0,0,1,242,,Celta de Vigo,12,Turkey,"5,00 Mill. ",25,83,85,55,51,70,62,High / Low,16,2.5,1,0.08,475,475,Emre Mor,Right Wing,"5,00 Mill. ?",917
31,0,11,0,1,2,1059,,Celta de Vigo,26,Chile,"5,00 Mill. ",42,78,71,73,58,74,70,Medium / Medium,41,6,1,0.04,1.897,1897,Pablo Hernández,Central Midfield,"6,00 Mill. ?",6
24,1,3,0,0,0,325,,Celta de Vigo,31,Serbia,"5,00 Mill. ",76,70,50,67,74,78,68,High / Medium,11,2.5,1,0.03,2.42,2420,Nemanja Radoja,Defensive Midfield,"8,00 Mill. ?",90
25,2,8,0,0,0,107,,Celta de Vigo,23,Sweden,"5,00 Mill. ",30,76,65,65,75,78,80,High / Medium,8,8,4,0.17,267,1066,John Guidetti,Centre-Forward,"8,00 Mill. ?",672
32,1,13,1,3,1,1235,,Celta de Vigo,25,Argentina,"4,00 Mill. ",81,57,42,56,78,80,31,Medium / Medium,47,6,2,0.08,1.09,2179,Gustavo Cabral,Centre-Back,"4,00 Mill. ?",59
26,2,10,2,2,0,808,,Celta de Vigo,19,Spain,"3,50 Mill. ",66,74,66,72,65,77,72,Medium / Medium,30,5,2,0.11,547,1093,Jozabed Sánchez,Central Midfield,"3,50 Mill. ?",0
28,1,9,1,2,1,814,,Celta de Vigo,17,Spain,"3,50 Mill. ",79,61,31,67,67,78,48,Medium / Medium,34,3,1,0.06,1.462,1462,Andreu Fontàs,Centre-Back,"2,50 Mill. ?",88
31,0,6,0,1,0,575,5,Celta de Vigo,26,Spain,"2,50 Mill. ",44,80,77,75,78,77,72,No,16,2,0,0,,2340,Sergio Álvarez,Keeper,"5,00 Mill. ?",2
30,0,2,0,0,0,224,,Celta de Vigo,32,Argentina,"3,00 Mill. ",78,64,67,68,72,77,53,Medium / High,5,2,2,0.06,1.358,2716,Facundo Roncaglia,Centre-Back,"5,00 Mill. ?",119
22,0,12,0,2,0,1080,2,Celta de Vigo,11,Spain,"2,50 Mill. ",54,71,79,69,75,75,74,No,30,3.5,0,0,,990,Rubén Blanco,Keeper,"1,50 Mill. ?",25
22,0,0,0,0,0,12,,Celta de Vigo,7,Denmark,"1,00 Mill. ",45,69,79,64,66,67,62,Medium / Medium,2,2,1,0.14,259,259,Andrew Hjulsager,Central Midfield,"1,20 Mill. ?",93
26,2,15,0,0,8,1269,,Villarreal CF,26,DR Congo,"25,00 Mill. ",40,84,90,78,79,84,83,Medium / Medium,67,9.5,10,0.38,157,1567,Cédric Bakambu,Centre-Forward,"16,00 Mill. ?",392
27,3,14,1,6,1,1275,,Villarreal CF,36,Spain,"16,00 Mill. ",80,73,81,70,81,81,70,High / Medium,58,13.5,0,0,,3240,Mario Gaspar,Right-Back,"16,00 Mill. ?",3
28,1,15,1,7,0,1350,,Villarreal CF,28,Spain,"14,00 Mill. ",83,61,58,64,81,82,42,Medium / Medium,53,7,1,0.04,2.367,2367,Víctor Ruiz,Centre-Back,"14,00 Mill. ?",3
26,4,3,1,0,3,300,,Villarreal CF,32,Italy,"12,00 Mill. ",40,86,85,80,73,82,85,Medium / Medium,29,5.2,8,0.25,266,2131,Nicola Sansone,Centre-Forward,"16,00 Mill. ?",219
26,7,6,0,2,0,562,,Villarreal CF,33,Italy,"12,00 Mill. ",63,80,77,80,73,80,77,Medium / Medium,21,9,10,0.3,247,2467,Roberto Soriano,Left Midfield,"16,00 Mill. ?",158
21,3,16,6,6,1,1435,,Villarreal CF,32,Spain,"15,00 Mill. ",69,75,61,76,65,77,66,Medium / Medium,67,11,6,0.19,446,2673,Pablo Fornals,Central Midfield,"12,00 Mill. ?",138
26,1,16,3,6,1,1371,,Villarreal CF,37,Spain,"15,00 Mill. ",65,81,73,80,69,82,74,Medium / Medium,46,13.5,5,0.14,608,3042,Manu Trigueros,Central Midfield,"15,00 Mill. ?",72
31,5,14,3,0,5,1152,,Villarreal CF,32,Colombia,"12,00 Mill. ",24,79,77,64,70,82,79,Medium / Low,62,7,13,0.4,164,2128,Carlos Bacca,Centre-Forward,"18,00 Mill. ?",844
23,0,3,0,0,0,231,,Villarreal CF,24,Portugal,"8,00 Mill. ",78,64,72,51,82,78,52,Medium / High,5,2,0,0,,2090,Rúben Semedo,Centre-Back,"14,00 Mill. ?",267
29,3,16,0,7,0,1404,,Villarreal CF,31,Spain,"9,00 Mill. ",76,74,83,71,72,79,59,High / High,53,8.9,1,0.03,2.681,2681,Jaume Costa,Left-Back,"9,00 Mill. ?",44
27,1,16,1,6,0,1406,,Villarreal CF,23,Spain,"7,50 Mill. ",76,58,70,54,76,77,30,Medium / High,48,6.5,1,0.04,1.883,1883,Álvaro González,Centre-Back,"6,00 Mill. ?",3
28,0,4,0,2,0,360,12,Villarreal CF,24,Spain,"7,50 Mill. ",59,85,86,76,82,84,83,No,18,3,0,0,,2105,Sergio Asenjo,Keeper,"7,50 Mill. ?",168
22,4,11,3,0,1,923,,Villarreal CF,33,Spain,"7,00 Mill. ",37,81,86,79,48,80,67,Medium / High,44,7.5,2,0.06,1.026,2051,Samu Castillejo,Right Wing,"7,00 Mill. ?",111
20,4,9,1,0,3,852,,Villarreal CF,32,Turkey,"6,00 Mill. ",32,72,70,61,66,74,77,High / Medium,38,4,18,0.56,152,2729,Enes Ünal,Centre-Forward,"14,00 Mill. ?",472
27,0,1,1,1,0,213,,Villarreal CF,11,Russia,"3,00 Mill. ",56,79,80,75,70,79,74,High / Low,15,2,0,0,,33,Denis Cheryshev,Left Wing,"3,00 Mill. ?",247
33,2,0,0,0,0,0,,Villarreal CF,34,Spain,"3,00 Mill. ",78,75,41,79,77,84,72,Medium / High,0,2,4,0.12,746,2984,Bruno Soriano,Defensive Midfield,"5,00 Mill. ?",135
36,0,3,0,1,0,304,,Villarreal CF,6,Italy,200 Th. ,80,48,34,52,68,77,38,Low / High,8,2,0,0,,540,Daniele Bonera,Centre-Back,200 Th. ?,155
21,2,10,3,3,2,877,,Real Betis Balompié,18,Spain,"7,50 Mill. ",70,67,54,70,61,70,64,Medium / Medium,50,5.5,1,0.055,1347,1347,Fabián Ruiz,Central Midfield,500 Th. ?,0
21,1,6,0,0,7,638,,Real Betis Balompié,22,Paraguay,"7,50 Mill. ",30,85,84,78,70,82,82,High / Medium,49,5,3,0.14,499,1496,Antonio Sanabria,Centre-Forward,"5,00 Mill. ?",275
27,9,3,1,0,1,402,,Real Betis Balompié,33,Algeria,"6,00 Mill. ",32,81,76,82,62,81,78,High / Medium,22,2.5,11,0.33,266,2925,Ryad Boudebouz,Attacking Midfield,"10,00 Mill. ?",183
26,1,16,0,4,0,1440,,Real Betis Balompié,26,Algeria,"6,00 Mill. ",78,69,68,73,72,78,46,High / Medium,39,5,2,0.08,1.108,2216,Aïssa Mandi,Centre-Back,"6,00 Mill. ?",86
30,0,18,0,4,0,1620,10,Real Betis Balompié,37,Spain,"8,00 Mill. ",55,82,80,72,81,81,83,No,47,6,0,0,,3330,Antonio Adán,Keeper,"8,00 Mill. ?",126
23,3,14,2,3,1,1253,,Real Betis Balompié,27,Denmark,"6,00 Mill. ",66,73,85,70,75,73,62,High / Medium,48,6,1,0.04,2.388,2388,Riza Durmisi,Left-Back,"6,00 Mill. ?",165
26,7,9,3,0,3,930,,Real Betis Balompié,37,Spain,"6,00 Mill. ",28,80,90,70,59,77,70,Medium / Low,46,6,4,0.1,527,2107,Cristian Tello,Left Wing,"8,00 Mill. ?",468
23,1,11,0,2,1,866,,Real Betis Balompié,31,Spain,"6,00 Mill. ",66,74,63,73,75,76,68,High / Medium,32,6.8,3,0.1,836,2507,Víctor Camarasa,Central Midfield,"7,00 Mill. ?",97
31,9,13,6,3,1,1240,,Real Betis Balompié,27,Mexico,"5,00 Mill. ",67,82,76,80,68,80,64,Medium / Medium,56,6.5,2,0.07,1138,2275,Andrés Guardado,Defensive Midfield,"6,00 Mill. ?",545
28,2,14,1,0,6,1237,,Real Betis Balompié,33,Spain,"5,00 Mill. ",34,76,76,56,69,77,78,High / Medium,56,10.5,10,0.3,240,2401,Sergio León,Centre-Forward,"3,50 Mill. ?",133
30,0,13,0,3,0,1162,,Real Betis Balompié,22,Spain,"4,00 Mill. ",77,68,65,67,81,78,63,Medium / High,34,5,1,0.04,1923,1923,Javi García,Defensive Midfield,"5,00 Mill. ?",302
28,1,11,0,2,3,1022,,Real Betis Balompié,27,Morocco,"3,00 Mill. ",78,58,55,58,76,77,49,Medium / Medium,40,2.5,2,0.07,1.123,2245,Zouhair Feddal,Centre-Back,"3,00 Mill. ?",72
25,4,1,1,0,1,89,,Real Betis Balompié,19,Costa Rica,"3,00 Mill. ",42,78,85,73,71,77,73,High / Medium,12,2,3,0.157,253,760,Joel Campbell,Right Wing,"6,00 Mill. ?",770
25,0,10,0,3,0,873,,Real Betis Balompié,17,Spain,"2,50 Mill. ",76,58,68,53,76,77,48,Low / High,17,2,0,0,,1407,Jordi Amat,Centre-Back,"2,50 Mill. ?",107
23,2,1,0,0,0,112,,Real Betis Balompié,18,Spain,"1,00 Mill. ",68,67,79,60,50,70,44,High / Medium,3,2,2,0.11,644,1288,Rafa Navarro,Right-Back,"1,50 Mill. ?",28
36,4,17,4,3,3,1408,,Real Betis Balompié,28,Spain,500 Th. ,23,86,82,81,51,82,74,High / Medium,67,8.9,3,0.11,559,1678,Joaquín,Right Wing,500 Th. ?,104
27,0,0,0,0,0,0,,Real Betis Balompié,14,Chile,"2,50 Mill. ",60,75,68,74,62,75,68,Medium / Medium,0,4.5,1,0.07,753,753,Felipe Gutiérrez,Central Midfield,"2,50 Mill. ?",79
36,3,0,0,0,0,0,,Real Betis Balompié,35,Spain,900 Th. ,23,83,78,65,64,81,80,Medium / Low,0,4.5,13,0.37,214,2782,Rubén Castro,Centre-Forward,"1,00 Mill. ?",187
29,3,10,0,3,0,820,,Sevilla FC,35,France,"30,00 Mill. ",80,71,57,73,88,83,67,Medium / Medium,28,9,2,0.06,1.533,3066,Steven N'Zonzi,Defensive Midfield,"30,00 Mill. ?",690
27,5,8,0,0,5,730,,Sevilla FC,31,France,"25,00 Mill. ",37,88,85,80,70,84,85,High / High,41,7,11,0.35,152,1668,Wissam Ben Yedder,Centre-Forward,"15,00 Mill. ?",780
25,9,10,3,3,1,936,,Sevilla FC,34,Spain,"18,00 Mill. ",35,85,80,85,58,83,80,High / Medium,47,11,8,0.24,266,2131,Pablo Sarabia,Left Wing,"15,00 Mill. ?",186
24,0,10,0,4,0,985,12,Sevilla FC,35,Spain,"20,00 Mill. ",50,83,80,78,81,81,79,No,36,5,0,0,,3150,Sergio Rico,Keeper,"20,00 Mill. ?",191
22,0,15,0,6,3,1335,,Sevilla FC,17,France,"15,00 Mill. ",78,56,73,52,75,78,33,Medium / High,66,8,0,0,,1375,Clément Lenglet,Centre-Back,"7,50 Mill. ?",193
26,9,9,0,0,3,842,,Sevilla FC,31,Colombia,"15,00 Mill. ",24,84,89,68,72,80,77,High / Low,37,4,11,0.35,205,2258,Luis Muriel,Centre-Forward,"20,00 Mill. ?",356
28,2,9,3,2,1,739,,Sevilla FC,30,Italy,"12,00 Mill. ",43,84,64,79,75,82,77,Medium / High,38,8.2,7,0.23,299,2092,Franco Vázquez,Attacking Midfield,"18,00 Mill. ?",239
27,1,11,0,3,1,993,,Sevilla FC,16,Argentina,"15,00 Mill. ",74,70,60,71,84,78,62,Medium / High,32,3.5,0,0,,1350,Guido Pizarro,Defensive Midfield,"6,00 Mill. ?",320
29,7,9,2,2,0,930,,Sevilla FC,28,Argentina,"12,00 Mill. ",66,86,71,88,70,85,75,Medium / Medium,34,4.5,6,0.21,260,1560,Éver Banega,Central Midfield,"9,00 Mill. ?",621
23,1,5,0,2,0,427,,Sevilla FC,26,Argentina,"10,00 Mill. ",33,74,73,73,60,73,70,Medium / Medium,17,2,4,0.15,327,1309,Joaquín Correa,Left Wing,"10,00 Mill. ?",403
24,0,4,1,1,0,399,,Sevilla FC,18,Germany,"8,00 Mill. ",73,69,48,81,77,77,66,Low / Medium,18,2,0,0,,1332,Johannes Geis,Defensive Midfield,"10,00 Mill. ?",133
28,3,11,1,5,0,990,,Sevilla FC,26,Spain,"7,50 Mill. ",76,71,75,73,73,79,56,High / Medium,41,4,0,0,,2281,Sergio Escudero,Left-Back,"7,50 Mill. ?",2
27,4,8,1,1,0,727,,Sevilla FC,38,France,"7,50 Mill. ",77,76,77,75,72,79,65,High / Medium,20,2,1,0.026,3418,3418,Sébastien Corchia,Right-Back,"7,50 Mill. ?",167
31,2,8,4,0,2,770,,Sevilla FC,19,Spain,"6,00 Mill. ",39,80,72,76,67,79,78,High / Low,44,4.5,4,0.21,194,776,Nolito,Left Wing,"9,00 Mill. ?",770
32,2,11,0,4,1,1010,,Sevilla FC,24,Spain,"6,00 Mill. ",28,81,88,73,50,78,65,Medium / Medium,37,5,0,0,,1056,Jesús Navas,Right Wing,"9,00 Mill. ?",940
30,1,10,1,6,0,869,,Sevilla FC,29,Argentina,"5,00 Mill. ",75,60,75,64,81,76,54,Medium / Medium,42,4,3,0.1,729,2186,Gabriel Mercado,Right-Back,"5,00 Mill. ?",223
28,1,6,0,4,2,457,,Sevilla FC,10,Brazil,"3,50 Mill. ",38,80,35,84,63,80,75,Medium / Low,31,2,2,0.2,243,485,Ganso,Attacking Midfield,"5,00 Mill. ?",9
24,0,7,0,2,0,545,1,Sevilla FC,1,Spain,"3,00 Mill. ",49,71,76,58,78,73,67,No,23,2,0,0,,90,David Soria,Keeper,"1,50 Mill. ?",76
26,3,5,1,1,0,450,,Sevilla FC,25,France,"3,00 Mill. ",71,73,83,65,77,74,40,High / Medium,17,2,0,0,,2198,Lionel Carole,Left-Back,"3,25 Mill. ?",104
29,0,3,0,2,0,270,,Sevilla FC,6,Portugal,"1,50 Mill. ",80,64,57,68,78,80,53,Medium / Medium,13,2,0,0,,554,Daniel Carriço,Centre-Back,"2,00 Mill. ?",132
33,1,2,0,2,0,135,,Sevilla FC,27,Argentina,"1,00 Mill. ",79,66,38,70,69,79,60,Medium / Medium,12,2,1,0.04,2.165,2165,Nicolás Pareja,Centre-Back,"1,00 Mill. ?",140
27,1,15,0,5,0,1317,,SD Eibar,36,Spain,"5,00 Mill. ",73,71,48,74,80,81,58,Medium / High,35,10.5,1,0.03,3.185,3185,Dani García,Central Midfield,"5,00 Mill. ?",0
27,7,12,1,0,3,1155,,SD Eibar,38,Spain,"5,00 Mill. ",42,75,66,69,79,80,77,High / High,45,13.1,11,0.29,257,2829,Sergi Enrich,Centre-Forward,"10,00 Mill. ?",97
25,3,17,1,5,0,1446,,SD Eibar,31,Spain,"5,00 Mill. ",72,76,86,69,84,78,63,High / High,52,7.5,0,0,,2553,Ander Capa,Right-Back,"5,00 Mill. ?",48
29,4,16,1,4,2,1300,,SD Eibar,28,Japan,"3,50 Mill. ",44,91,88,79,66,82,76,Medium / Medium,54,8,3,0.11,696,2089,Takashi Inui,Left Wing,"3,00 Mill. ?",178
25,0,15,0,5,0,1350,,SD Eibar,13,Portugal,"3,00 Mill. ",79,62,68,50,79,78,35,Medium / High,45,5,0,0,,917,Paulo Oliveira,Centre-Back,"4,00 Mill. ?",55
31,6,0,0,0,0,0,,SD Eibar,37,Spain,"2,50 Mill. ",40,81,67,83,62,80,76,High / Low,0,3.8,10,0.27,301,3011,Pedro León,Right Wing,"5,00 Mill. ?",127
28,3,12,0,0,1,998,,SD Eibar,24,Spain,"2,50 Mill. ",32,71,70,59,75,76,74,Medium / Medium,32,5.5,7,0.29,220,1538,Kike,Centre-Forward,"3,00 Mill. ?",859
24,3,8,0,2,1,724,,SD Eibar,30,Argentina,"2,50 Mill. ",77,72,67,69,79,78,61,Medium / High,27,4,2,0.07,1.01,2019,Gonzalo Escalante,Central Midfield,"5,00 Mill. ?",38
31,3,0,0,0,1,19,,SD Eibar,23,Chile,"2,00 Mill. ",32,83,80,76,50,80,73,High / Medium,6,2,3,0.13,590,1771,Fabián Orellana,Right Wing,"3,00 Mill. ?",212
30,0,4,0,0,0,345,,SD Eibar,21,Spain,"1,50 Mill. ",75,57,36,64,79,75,59,Medium / Medium,5,2,1,0.05,1.84,1840,David Lombán,Centre-Back,"2,50 Mill. ?",30
27,3,3,0,0,0,343,,SD Eibar,20,Portugal,"1,50 Mill. ",28,74,83,69,78,74,73,Medium / Low,13,2,3,0.15,227,681,Bebé,Left Wing,"2,50 Mill. ?",411
22,1,7,3,2,1,557,,SD Eibar,28,Spain,"1,50 Mill. ",43,70,80,63,61,68,57,Medium / Medium,35,3.5,1,0.0357,1431,1431,Iván Alejo,Right Wing,300 Th. ?,18
33,1,8,1,0,5,720,,SD Eibar,21,Brazil,"1,50 Mill. ",65,83,79,87,75,81,78,Medium / Medium,49,5.5,3,0.14,378,1135,Charles,Centre-Forward,"1,50 Mill. ?",303
30,1,0,0,0,0,0,,SD Eibar,17,Spain,"1,00 Mill. ",70,70,58,76,71,76,66,Medium / Medium,0,2,2,0.12,613,1226,Fran Rico,Central Midfield,"2,50 Mill. ?",26
26,0,3,0,1,0,376,,SD Eibar,28,Spain,"1,00 Mill. ",57,75,86,65,64,73,70,Medium / Medium,16,2.5,1,0.04,1.05,1050,Rubén Peña,Right Wing,"1,50 Mill. ?",21
33,0,4,0,2,0,342,,SD Eibar,22,Spain,500 Th. ,77,59,38,63,83,77,61,Medium / High,14,2,3,0.14,574,1721,Iván Ramis,Centre-Back,"1,00 Mill. ?",33
29,1,12,1,0,2,1110,,Deportivo de La Coruña,1,Spain,"10,00 Mill. ",31,80,81,76,71,81,82,High / Medium,47,7,1,1,90,90,Lucas Pérez,Centre-Forward,"15,00 Mill. ?","1,017"
28,0,14,1,2,1,1215,,Deportivo de La Coruña,29,Brazil,"6,00 Mill. ",80,68,51,59,81,80,50,High / Medium,38,4.5,1,0.03,2.491,2491,Sidnei,Centre-Back,"6,00 Mill. ?",1
29,0,16,1,3,3,1365,,Deportivo de La Coruña,34,Costa Rica,"5,00 Mill. ",76,73,61,73,74,78,77,High / Medium,55,9.5,6,0.18,454,2724,Celso Borges,Central Midfield,"5,00 Mill. ?",109
26,1,17,0,3,0,1446,,Deportivo de La Coruña,30,Brazil,"4,00 Mill. ",77,60,79,53,83,77,33,Low / High,34,6.5,2,0.07,1.141,2281,Guilherme,Defensive Midfield,"4,00 Mill. ?",24
24,3,7,2,0,4,769,,Deportivo de La Coruña,37,Romania,"4,00 Mill. ",45,75,78,62,80,79,78,High / High,38,9.5,12,0.32,242,2901,Florin Andone,Centre-Forward,"5,00 Mill. ?",215
29,1,8,2,0,3,780,,Deportivo de La Coruña,15,Spain,"3,50 Mill. ",27,80,66,67,63,75,73,Medium / Medium,38,3.5,2,0.13,338,676,Adrián López,Centre-Forward,"3,50 Mill. ?",222
26,9,8,1,2,0,634,,Deportivo de La Coruña,33,Turkey,"4,00 Mill. ",44,81,73,78,48,79,75,Medium / Medium,25,5.5,3,0.09,825,2475,Emre Colak,Attacking Midfield,"7,50 Mill. ?",1
26,0,15,1,2,2,1320,,Deportivo de La Coruña,6,Switzerland,"3,00 Mill. ",74,67,56,70,75,75,63,High / Medium,44,4.5,0,0,,282,Fabian Schär,Centre-Back,"2,50 Mill. ?",151
29,0,5,1,0,0,466,,Deportivo de La Coruña,23,Spain,"2,00 Mill. ",70,70,56,75,75,78,59,Medium / Medium,15,2,3,0.13,518,1555,Pedro Mosquera,Central Midfield,"4,00 Mill. ?",38
21,1,6,0,0,0,502,,Deportivo de La Coruña,18,Belgium,"1,80 Mill. ",17,79,87,65,38,72,70,Medium / Medium,16,2,1,0.06,274,274,Zakaria Bakkali,Left Wing,"2,00 Mill. ?",217
29,1,4,0,1,0,405,,Deportivo de La Coruña,27,Spain,"1,50 Mill. ",74,42,35,52,82,74,47,Medium / Medium,9,2.5,1,0.04,2.336,2336,Raúl Albentosa,Centre-Back,"3,00 Mill. ?",35
30,0,6,0,1,0,540,1,Deportivo de La Coruña,2,Romania,"1,50 Mill. ",48,77,73,67,78,76,76,No,17,2,0,0,,81,Costel Pantilimon,Keeper,"3,00 Mill. ?",240
32,2,13,1,2,1,1182,,Deportivo de La Coruña,26,Portugal,"1,50 Mill. ",76,76,70,73,65,77,53,High / Medium,33,3.5,0,0,,1907,Luisinho,Left-Back,"1,80 Mill. ?",2
25,4,4,0,1,0,330,,Deportivo de La Coruña,23,Spain,"1,50 Mill. ",39,79,70,78,55,78,69,High / Low,12,2.5,1,0.04,1.41,1410,Carles Gil,Right Wing,"2,50 Mill. ?",130
24,3,1,0,0,0,96,,Deportivo de La Coruña,33,Spain,500 Th. ,63,76,92,63,66,71,36,High / Medium,2,2,0,0,,2484,Gerard Valentín,Right-Back,"1,00 Mill. ?",20
35,0,5,0,1,0,475,,Deportivo de La Coruña,25,Spain,300 Th. ,66,68,85,64,61,71,58,High / High,12,2,0,0,,2050,Fernando Navarro,Left-Back,500 Th. ?,75
28,1,0,0,0,0,31,,Getafe CF,13,Ecuador,"2,00 Mill. ",31,81,90,73,65,78,68,High / High,3,2,0,0,,373,Jefferson Montero,Left Wing,"4,50 Mill. ?",196
25,2,4,0,1,1,331,,Getafe CF,12,Japan,"1,50 Mill. ",70,76,71,74,65,75,65,High / Medium,17,2,1,0.08,768,768,Gaku Shibasaki,Central Midfield,"2,00 Mill. ?",209
27,0,1,0,1,0,98,,Getafe CF,16,Spain,800 Th. ,78,46,37,48,81,77,33,Medium / Medium,9,2,1,0.06,1.33,1330,Bruno González,Centre-Back,"1,00 Mill. ?",1
29,0,0,0,0,0,0,,Getafe CF,22,Argentina,600 Th. ,71,55,68,60,74,72,50,Medium / Medium,0,2,1,0.03,1667,1667,Nicolás Gorosito,Centre-Back,800 Th. ?,0
35,6,17,2,0,2,1471,,Getafe CF,39,Spain,500 Th. ,37,60,32,57,81,73,76,Medium / Medium,57,7.5,20,0.51,162,3235,Jorge Molina,Centre-Forward,500 Th. ?,3
38,0,2,0,1,0,341,,Getafe CF,19,Spain,100 Th. ,60,61,41,76,68,70,63,Medium / Medium,17,3,0,0,,1624,Sergio Mora,Central Midfield,100 Th. ?,198
28,1,14,0,10,0,1184,,CD Leganés,30,Spain,"5,00 Mill. ",70,66,57,68,77,75,56,Medium / Medium,39,4.5,0,0,,2315,Rubén Pérez,Defensive Midfield,"2,50 Mill. ?",6
29,2,13,2,6,1,1064,,CD Leganés,28,Argentina,"4,00 Mill. ",39,77,88,72,62,78,72,High / Medium,50,6.5,8,0.29,255,2039,Alexander Szymanowski,Left Wing,"5,00 Mill. ?",77
30,3,6,3,0,0,577,,CD Leganés,29,Morocco,"3,00 Mill. ",57,81,81,76,72,79,75,High / Medium,26,3,0,0,,2100,Nordin Amrabat,Right Wing,"4,50 Mill. ?",267
