Age,Assists,C_Apps,C_Assists,C_Clean_Sheets,C_Goals,C_Mins,Clean Sheets,Club,Club_Appearances,Country,Current_Value,F_Def,F_Drib,F_Pace,F_Passing,F_Phy,F_Rating,F_Shooting,F_WRate,FantasyLeaguePoints,FantasyLeagueVal,Goals,Goals_per_game,Mins_per_goal,Minutes_played_club,Name,Position,Previous_Value,Wiki_Views
23,3,17,2,10,2,1492,,Atlético Madrid,33,Spain,"70,00 Mill. ",77,81,73,78,75,82,69,Medium / High,65,15,4,0.12,636,2543,Saúl Ñíguez,Central Midfield,"40,00 Mill. ?",917
31,1,15,0,9,0,1350,,Atlético Madrid,31,Uruguay,"35,00 Mill. ",88,64,65,65,78,88,48,Medium / High,63,15.3,3,0.1,902,2706,Diego Godín,Centre-Back,"38,00 Mill. ?",474
26,1,15,0,10,0,1370,,Atlético Madrid,32,Montenegro,"30,00 Mill. ",83,57,63,52,74,82,35,Medium / High,64,13,1,0.03,2.727,2727,Stefan Savic,Centre-Back,"30,00 Mill. ?",3
28,7,8,0,1,1,690,,Atlético Madrid,30,Spain,"25,00 Mill. ",28,82,80,79,76,83,77,High / High,24,3.5,6,0.2,389,2333,Vitolo,Left Wing,"30,00 Mill. ?",17
22,0,5,0,1,1,519,,Atlético Madrid,17,Uruguay,"35,00 Mill. ",85,54,70,51,81,83,45,Medium / High,26,2,0,0,,1011,José Giménez,Centre-Back,"28,00 Mill. ?",322
25,0,6,3,4,0,543,,Atlético Madrid,14,Croatia,"20,00 Mill. ",84,82,86,83,83,84,63,High / Medium,35,3.5,0,0,,922,Sime Vrsaljko,Right-Back,"16,00 Mill. ?",3
22,8,14,1,0,5,1106,,Atlético Madrid,31,Argentina,"20,00 Mill. ",49,85,82,65,57,79,80,Medium / Low,63,9.5,4,0.13,303,1211,Ángel Correa,Secondary Striker,"18,00 Mill. ?",521
30,5,6,1,0,3,509,,Atlético Madrid,31,France,"20,00 Mill. ",35,79,87,75,68,83,83,Medium / Medium,37,9.8,12,0.39,143,1717,Kévin Gameiro,Centre-Forward,"24,00 Mill. ?",626
29,3,1,0,1,0,216,,Atlético Madrid,23,Argentina,"15,00 Mill. ",39,84,81,81,55,83,74,High / Medium,10,2,3,0.13,340,1019,Nico Gaitán,Left Wing,"20,00 Mill. ?",0
21,0,9,1,7,0,822,,Atlético Madrid,15,France,"20,00 Mill. ",76,57,65,53,70,76,42,Medium / High,47,3.5,0,0,,1253,Lucas Hernández,Centre-Back,"15,00 Mill. ?",661
32,6,11,1,6,1,981,,Atlético Madrid,34,Brazil,"18,00 Mill. ",82,78,79,77,79,85,62,High / Medium,55,13.2,3,0.09,1.003,3009,Filipe Luís,Left-Back,"18,00 Mill. ?",580
32,2,8,0,5,0,688,,Atlético Madrid,23,Spain,"8,00 Mill. ",80,77,82,75,77,83,58,High / Medium,31,2.1,0,0,,1977,Juanfran,Right-Back,"12,00 Mill. ?",13
24,2,14,0,9,2,1171,,Atlético Madrid,16,Ghana,"8,00 Mill. ",83,80,80,78,86,84,79,High / High,56,8,1,0.06,627,627,Thomas,Defensive Midfield,"4,50 Mill. ?",117
33,6,2,0,0,1,344,,Atlético Madrid,31,Spain,"4,00 Mill. ",25,78,76,71,69,81,78,Medium / Medium,19,4.9,8,0.26,177,1416,Fernando Torres,Centre-Forward,"4,00 Mill. ?","3,707"
31,0,1,0,1,0,84,,Atlético Madrid,3,Argentina,"4,00 Mill. ",68,79,69,77,75,80,70,Medium / Medium,6,2,0,0,,143,Augusto Fernández,Central Midfield,"4,00 Mill. ?",182
34,0,15,1,10,0,1346,,Atlético Madrid,34,Spain,"3,00 Mill. ",75,76,64,79,73,81,72,Medium / High,49,13.2,0,0,,2896,Gabi,Central Midfield,"3,00 Mill. ?",15
33,0,0,0,0,0,0,5,Atlético Madrid,9,Spain,"2,00 Mill. ",46,79,85,82,81,81,78,No,0,2,0,0,,769,Miguel Ángel Moyà,Keeper,"2,00 Mill. ?",165
21,0,0,0,0,0,0,0,Atlético Madrid,2,Argentina,"1,00 Mill. ",41,70,78,74,64,69,67,No,0,2,0,0,,180,Axel Werner,Keeper,"1,00 Mill. ?",123
