,Name,Position,Country,Age,Club,Current_Value,Previous_Value
123,Thomas,Defensive Midfield,Ghana,24,Atlético Madrid,"8,00 Mill. ","4,50 Mill. €"
124,Johannes Geis,Defensive Midfield,Germany,24,Sevilla FC,"8,00 Mill. ","10,00 Mill. €"
125,Sergi Gómez,Centre-Back,Spain,25,Celta de Vigo,"8,00 Mill. ","6,00 Mill. €"
126,Loïc Rémy,Centre-Forward,France,30,UD Las Palmas,"8,00 Mill. ","9,00 Mill. €"
127,Iñigo Lekue,Right-Back,Spain,24,Athletic Bilbao,"7,50 Mill. ","4,00 Mill. €"
128,Fabián Ruiz,Central Midfield,Spain,21,Real Betis Balompié,"7,50 Mill. ",500 Th. €
129,Antonio Sanabria,Centre-Forward,Paraguay,21,Real Betis Balompié,"7,50 Mill. ","5,00 Mill. €"
130,Sergio Escudero,Left-Back,Spain,28,Sevilla FC,"7,50 Mill. ","7,50 Mill. €"
131,Juanmi,Right Wing,Spain,24,Real Sociedad,"7,50 Mill. ","10,00 Mill. €"
132,Djené,Centre-Back,Togo,26,Getafe CF,"7,50 Mill. ","2,50 Mill. €"
133,Álvaro González,Centre-Back,Spain,27,Villarreal CF,"7,50 Mill. ","6,00 Mill. €"
134,Sergio Asenjo,Keeper,Spain,28,Villarreal CF,"7,50 Mill. ","7,50 Mill. €"
135,Bernardo Espinosa,Centre-Back,Colombia,28,Girona FC,"7,00 Mill. ","4,50 Mill. €"
136,Ryad Boudebouz,Attacking Midfield,Algeria,27,Real Betis Balompié,"6,00 Mill. ","10,00 Mill. €"
137,Aïssa Mandi,Centre-Back,Algeria,26,Real Betis Balompié,"6,00 Mill. ","6,00 Mill. €"
138,Antonio Adán,Keeper,Spain,30,Real Betis Balompié,"8,00 Mill. ","8,00 Mill. €"
139,Toni Lato,Left-Back,Spain,20,Valencia CF,"8,00 Mill. ","3,00 Mill. €"
140,Andreas Pereira,Left Wing,Brazil,22,Valencia CF,"7,50 Mill. ","5,00 Mill. €"
141,Sébastien Corchia,Right-Back,France,27,Sevilla FC,"7,50 Mill. ","7,50 Mill. €"
142,Markel Susaeta,Right Wing,Spain,30,Athletic Bilbao,"7,50 Mill. ","7,50 Mill. €"
143,Yeray Álvarez,Centre-Back,Spain,22,Athletic Bilbao,"7,50 Mill. ","15,00 Mill. €"
144,Stanislav Lobotka,Defensive Midfield,Slovakia,23,Celta de Vigo,"7,50 Mill. ","5,00 Mill. €"
145,Borja Mayoral,Centre-Forward,Spain,20,Real Madrid,"7,50 Mill. ","2,50 Mill. €"
146,Aleix Vidal,Right-Back,Spain,28,FC Barcelona,"7,50 Mill. ","7,50 Mill. €"
147,Samu Castillejo,Right Wing,Spain,22,Villarreal CF,"7,00 Mill. ","7,00 Mill. €"
148,David López,Centre-Back,Spain,28,RCD Espanyol Barcelona,"6,50 Mill. ","6,50 Mill. €"
149,Kiko Casilla,Keeper,Spain,31,Real Madrid,"6,00 Mill. ","6,00 Mill. €"
150,Mauricio Lemos,Centre-Back,Uruguay,22,UD Las Palmas,"6,00 Mill. ","10,00 Mill. €"
151,Óscar de Marcos,Right-Back,Spain,28,Athletic Bilbao,"6,00 Mill. ","8,00 Mill. €"
152,Mikel Vesga,Defensive Midfield,Spain,24,Athletic Bilbao,"6,00 Mill. ","6,00 Mill. €"
153,Sidnei,Centre-Back,Brazil,28,Deportivo de La Coruña,"6,00 Mill. ","6,00 Mill. €"
154,Javier Mascherano,Centre-Back,Argentina,33,FC Barcelona,"6,00 Mill. ","8,00 Mill. €"
155,Nolito,Left Wing,Spain,31,Sevilla FC,"6,00 Mill. ","9,00 Mill. €"
156,Pablo Piatti,Left Wing,Argentina,28,RCD Espanyol Barcelona,"6,00 Mill. ","6,00 Mill. €"
157,Beñat Etxebarria,Central Midfield,Spain,30,Athletic Bilbao,"5,00 Mill. ","8,00 Mill. €"
158,Portu,Attacking Midfield,Spain,25,Girona FC,"5,00 Mill. ","1,80 Mill. €"
159,Emre Mor,Right Wing,Turkey,20,Celta de Vigo,"5,00 Mill. ","5,00 Mill. €"
